Id,Sales
1,6836
857,7264
1713,7636
2569,8322
3425,-597
4281,5245
5137,5165
5993,5151
6849,5110
7705,4928
8561,5145
9417,-597
10273,5245
11129,6339
11985,6793
12841,7140
13697,7609
14553,8261
15409,-369
16265,5302
17121,5194
17977,5177
18833,4959
19689,4859
20545,5189
21401,-369
22257,5302
23113,6382
23969,6779
24825,7092
25681,7578
26537,8261
27393,-369
28249,5302
29105,5194
29961,5177
30817,4959
31673,4859
32529,5189
33385,-369
34241,5302
35097,6382
35953,6779
36809,7092
37665,7578
38521,8261
39377,-369
40233,5302
2,6466
858,6772
1714,7594
2570,8731
3426,-253
4282,3747
5138,4946
5994,5263
6850,5152
7706,5116
8562,5516
9418,-253
10274,3747
11130,5971
11986,6466
12842,6772
13698,7594
14554,8710
15410,-194
16266,3755
17122,4961
17978,5279
18834,5123
19690,5084
20546,5405
21402,-194
22258,3755
23114,5969
23970,6446
24826,6783
25682,7643
26538,8710
27394,-194
28250,3755
29106,4961
29962,5279
30818,5123
31674,5142
32530,5434
33386,-194
34242,3755
35098,5791
35954,6298
36810,6770
37666,7686
38522,8546
39378,-194
40234,3755
3,8436
859,8864
1715,9229
2571,9419
3427,-156
4283,6320
5139,6923
5995,6925
6851,6643
7707,6510
8563,6570
9419,-156
10275,6320
11131,7902
11987,8436
12843,8864
13699,9229
14555,9486
15411,-131
16267,6294
17123,6685
17979,6939
18835,6727
19691,6515
20547,6742
21403,-131
22259,6294
23115,7952
23971,8465
24827,8797
25683,9184
26539,9570
27395,-131
28251,6294
29107,6685
29963,6939
30819,6727
31675,6515
32531,6742
33387,-131
34243,6294
35099,7952
35955,8465
36811,8797
37667,9184
38523,9570
39379,-131
40235,6294
4,6633
860,6933
1716,7628
2572,8617
3428,294
4284,3892
5140,4859
5996,5087
6852,5060
7708,5122
8564,5403
9420,294
10276,3892
11132,5991
11988,6633
12844,6933
13700,7628
14556,8686
15412,335
16268,3882
17124,4708
17980,5039
18836,5048
19692,4955
20548,5417
21404,335
22260,3882
23116,5782
23972,6413
24828,6820
25684,7501
26540,8646
27396,335
28252,3882
29108,4708
29964,5039
30820,5048
31676,4955
32532,5417
33388,335
34244,3882
35100,5782
35956,6413
36812,6820
37668,7501
38524,8646
39380,335
40236,3882
5,8380
861,8883
1717,9280
2573,9451
3429,-90
4285,6293
5141,6913
5997,6939
6853,6670
7709,6583
8565,6636
9421,-90
10277,6293
11133,7757
11989,8380
12845,8883
13701,9280
14557,9462
15413,-64
16269,6290
17125,6894
17981,6910
18837,6622
19693,6478
20549,6555
21405,-64
22261,6290
23117,7790
23973,8368
24829,8834
25685,9248
26541,9462
27397,-64
28253,6290
29109,6894
29965,6910
30821,6622
31677,6572
32533,6701
33389,-64
34245,6290
35101,7793
35957,8438
36813,8828
37669,9215
38525,9513
39381,-64
40237,6290
6,6693
862,7054
1718,7743
2574,8686
3430,332
4286,3992
5142,4884
5998,5056
6854,5115
7710,5216
8566,5548
9422,332
10278,3992
11134,6090
11990,6693
12846,6937
13702,7620
14558,8592
15414,387
16270,4398
17126,4719
17982,5001
18838,5074
19694,5008
20550,5428
21406,387
22262,4398
23118,5839
23974,6470
24830,6904
25686,7567
26542,8592
27398,387
28254,4398
29110,4719
29966,5001
30822,5074
31678,5008
32534,5428
33390,387
34246,4398
35102,5839
35958,6470
36814,6904
37670,7567
38526,8592
39382,387
40238,4398
7,8281
863,8868
1719,9307
2575,9495
3431,10
4287,6222
5143,6884
5999,6927
6855,6696
7711,6636
8567,6689
9423,10
10279,6222
11135,7683
11991,8281
12847,8868
13703,9307
14559,9488
15415,34
16271,6226
17127,6684
17983,6980
18839,6794
19695,6643
20551,6732
21407,34
22263,6226
23119,7674
23975,8350
24831,8830
25687,9246
26543,9481
27399,34
28255,6226
29111,6684
29967,6980
30823,6794
31679,6643
32535,6732
33391,34
34247,6226
35103,7674
35959,8350
36815,8830
37671,9246
38527,9481
39383,34
40239,6226
8,8236
864,8838
1720,9307
2576,9512
3432,34
4288,6190
5144,6852
6000,6902
6856,6708
7712,6660
8568,6718
9424,34
10280,6190
11136,7674
11992,8236
12848,8838
13704,9307
14560,9500
15416,57
16272,6183
17128,6671
17984,6973
18840,6809
19696,6678
20552,6753
21408,57
22264,6183
23120,7652
23976,8294
24832,8813
25688,9264
26544,9489
27400,57
28256,6183
29112,6671
29968,6973
30824,6809
31680,6678
32536,6753
33392,57
34248,6183
35104,7652
35960,8294
36816,8813
37672,9264
38528,9489
39384,57
40240,6183
9,6971
865,7238
1721,7710
2577,8100
3433,-427
4289,5507
5145,5349
6001,5066
6857,4861
7713,4731
8569,4661
9425,-427
10281,5507
11137,6757
11993,6916
12849,7245
13705,7570
14561,8068
15417,-417
16273,5498
17129,5336
17985,5035
18841,4895
19697,4660
20553,4605
21409,-417
22265,5498
23121,6756
23977,6931
24833,7267
25689,7529
26545,8068
27401,-417
28257,-138
29113,5336
29969,5035
30825,4895
31681,4660
32537,4605
33393,-417
34249,-647
35105,6756
35961,6931
36817,7267
37673,7529
38529,8068
39385,-417
40241,5498
10,7012
866,7556
1722,8219
2578,9063
3434,304
4290,4375
5146,5334
6002,5399
6858,5524
7714,5686
8570,5894
9426,304
10282,4375
11138,6606
11994,7012
12850,7556
13706,8219
14562,9040
15418,326
16274,4343
17130,5302
17986,5402
18842,5491
19698,5593
20554,5831
21410,326
22266,4343
23122,6565
23978,7017
24834,7514
25690,8148
26546,9040
27402,326
28258,4343
29114,5302
29970,5402
30826,5491
31682,5418
32538,5742
33394,326
34250,4343
35106,6349
35962,6821
36818,7371
37674,7968
38530,8852
39386,326
40242,4343
11,7669
867,7884
1723,8562
2579,9058
3435,-377
4291,6276
5147,6156
6003,5745
6859,5541
7715,5612
8571,5778
9427,-377
10283,6276
11139,7423
11995,7669
12851,7884
13707,8562
14563,9042
15419,-364
16275,6260
17131,6136
17987,5922
18843,5705
19699,5746
20555,5697
21411,-364
22267,6260
23123,7396
23979,7743
24835,7989
25691,8376
26547,9013
27403,-364
28259,6260
29115,6136
29971,5922
30827,5705
31683,5746
32539,5697
33395,-364
34251,6260
35107,7396
35963,7743
36819,7989
37675,8376
38531,9013
39387,-364
40243,6260
12,8120
868,8783
1724,9206
2580,9569
3436,231
4292,6124
5148,6644
6004,6745
6860,6841
7716,6877
8572,6967
9428,231
10284,6124
11140,7653
11996,8195
12852,8768
13708,9202
14564,9579
15420,254
16276,6100
17132,6602
17988,6770
18844,6843
19700,6800
20556,6881
21412,254
22268,6100
23124,7646
23980,8177
24836,8725
25692,9225
26548,9579
27404,254
28260,6100
29116,6602
29972,6770
30828,6843
31684,6800
32540,6881
33396,254
34252,6100
35108,7646
35964,8177
36820,8725
37676,9225
38532,9579
39388,254
40244,6100
13,8136
869,8918
1725,9331
2581,9629
3437,357
4293,6157
5149,6792
6005,6668
6861,6629
7717,6775
8573,6952
9429,357
10285,6157
11141,7703
11997,8136
12853,8918
13709,9331
14565,9657
15421,374
16277,6127
17133,6778
17989,6645
18845,6624
19701,6746
20557,6884
21413,374
22269,6127
23125,7693
23981,8093
24837,8868
25693,9320
26549,9657
27405,374
28261,6127
29117,6778
29973,6645
30829,6624
31685,6885
32541,7033
33397,374
34253,6127
35109,7690
35965,8178
36821,8876
37677,9324
38533,9677
39389,374
40245,6127
14,7549
870,7877
1726,8243
2582,8599
3438,-239
4294,5985
5150,5801
6006,5563
6862,5326
7718,5160
8574,5209
9430,-239
10286,5985
11142,7309
11998,7481
12854,7647
13710,8043
14566,8599
15422,-251
16278,5977
17134,5797
17990,5542
18846,5273
19702,5171
20558,5178
21414,-251
22270,5977
23126,7295
23982,7472
24838,7634
25694,8110
26550,8599
27406,-251
28262,-17
29118,5797
29974,5542
30830,5273
31686,5171
32542,5178
33398,-251
34254,5977
35110,7295
35966,7472
36822,7634
37678,8110
38534,8599
39390,-251
40246,5977
15,8253
871,8595
1727,8944
2583,9088
3439,-2
4295,6861
5151,6855
6007,6768
6863,6499
7719,6317
8575,6259
9431,-2
10287,6861
11143,7783
11999,8168
12855,8520
13711,8991
14567,9159
15423,51
16279,6854
17135,6837
17991,6725
18847,6469
19703,6256
20559,6201
21415,51
22271,6854
23127,7768
23983,8126
24839,8481
25695,8972
26551,9159
27407,51
28263,6854
29119,6837
29975,6725
30831,6469
31687,6256
32543,6201
33399,51
34255,6854
35111,7768
35967,8126
36823,8481
37679,8972
38535,9159
39391,51
40247,6854
16,7083
872,7532
1728,8444
2584,8938
3440,183
4296,4636
5152,5437
6008,5412
6864,5435
7720,5710
8576,6002
9432,183
10288,4636
11144,6678
12000,6954
